OBJECTID *,shape *,c5st_seq_no,relateid,depth_top,depth_bot,drllr_desc,color,hardness,strat,lith_prim,lith_sec,lith_minor,wellid,concat,stratcode_gen,stratcode_detail,elev_top,elev_bot,thickness,elevation,bdrkelev,depth2bdrk,first_bdrk,last_strat,ohtopunit,ohtopelev,ohbotunit,ohbotelev,botholelev,aquifer,X,Y
10356,Point Z,4143193,626647,0,10,CLAY,YELLOW  ,SOFT    ,QCUY,CLAY,<Null>,<Null>,626647,"CLAY,CLAY,YELLOW",till,"clay, yellow",1245,1235,10,1245,1235,10,OGPC,OPDC,OPDC,867,OPDC,825,825,OPDC,557629.981,4869556.294
10359,Point Z,4143194,626647,10,30,LIME,YELLOW  ,HARD    ,OGPC,LMSN,<Null>,<Null>,626647,"LIME,LMSN,YELLOW",bdrk,bedrock,1235,1215,20,1245,1235,10,OGPC,OPDC,OPDC,867,OPDC,825,825,OPDC,557629.981,4869556.294
10355,Point Z,4143195,626647,30,160,SHALE,BLUE    ,HARD    ,OGDP,SHLE,LMSN,<Null>,626647,"SHALE,SHLE,BLUE",bdrk,bedrock,1215,1085,130,1245,1235,10,OGPC,OPDC,OPDC,867,OPDC,825,825,OPDC,557629.981,4869556.294
10358,Point Z,4143196,626647,160,260,SANDROCK,BLUE    ,MEDIUM  ,OSTP,SNDS,<Null>,<Null>,626647,"SANDROCK,SNDS,BLUE",bdrk,bedrock,1085,985,100,1245,1235,10,OGPC,OPDC,OPDC,867,OPDC,825,825,OPDC,557629.981,4869556.294
10362,Point Z,4143197,634228,0,10,CLAY,YELLOW  ,SOFT    ,QCUY,CLAY,<Null>,<Null>,634228,"CLAY,CLAY,YELLOW",till,"clay, yellow",1290,1280,10,1290,1280,10,OGPR,OPDC,OPDC,933,OPDC,890,890,OPDC,560329.047,4869566.944
10364,Point Z,4143198,634228,10,20,LIME,YELLOW  ,HARD    ,OGPR,LMSN,<Null>,<Null>,634228,"LIME,LMSN,YELLOW",bdrk,bedrock,1280,1270,10,1290,1280,10,OGPR,OPDC,OPDC,933,OPDC,890,890,OPDC,560329.047,4869566.944
10361,Point Z,4143199,634228,20,200,SHALE,BLUE    ,HARD    ,OGDP,SHLE,LMSN,<Null>,634228,"SHALE,SHLE,BLUE",bdrk,bedrock,1270,1090,180,1290,1280,10,OGPR,OPDC,OPDC,933,OPDC,890,890,OPDC,560329.047,4869566.944
10360,Point Z,4143200,634228,200,320,SANDROCK,BLUE    ,MEDIUM  ,OSTP,SNDS,<Null>,<Null>,634228,"SANDROCK,SNDS,BLUE",bdrk,bedrock,1090,970,120,1290,1280,10,OGPR,OPDC,OPDC,933,OPDC,890,890,OPDC,560329.047,4869566.944
10363,Point Z,4143201,634228,320,400,LIME,GRAY    ,HARD    ,OPDC,DLMT,<Null>,<Null>,634228,"LIME,DLMT,GRAY",bdrk,bedrock,970,890,80,1290,1280,10,OGPR,OPDC,OPDC,933,OPDC,890,890,OPDC,560329.047,4869566.944
8443,Point Z,4173351,641651,0,1,CLAY,BROWN   ,SOFT    ,QCUB,CLAY,<Null>,<Null>,641651,"CLAY,CLAY,BROWN",till,"clay, brown",1273,1272,1,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8446,Point Z,4173352,641651,1,5,SAND,BROWN   ,SOFT    ,QFUB,SAND,<Null>,<Null>,641651,"SAND,SAND,BROWN",sand,"sand, brown",1272,1268,4,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8439,Point Z,4173353,641651,5,7,CLAY,BROWN   ,SOFT    ,QCUB,CLAY,<Null>,<Null>,641651,"CLAY,CLAY,BROWN",till,"clay, brown",1268,1266,2,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8442,Point Z,4173354,641651,7,126,LIMESTONE,TAN     ,HARD    ,OGPC,LMSN,<Null>,<Null>,641651,"LIMESTONE,LMSN,TAN",bdrk,bedrock,1266,1147,119,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8444,Point Z,4173355,641651,126,169,SHALE,BLUE    ,SOFT    ,ODCR,SHLE,LMSN,<Null>,641651,"SHALE,SHLE,BLUE",bdrk,bedrock,1147,1104,43,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8445,Point Z,4173356,641651,169,190,LIMESTONE,BROWN   ,HARD    ,OPVL,LMSN,<Null>,<Null>,641651,"LIMESTONE,LMSN,BROWN",bdrk,bedrock,1104,1083,21,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8440,Point Z,4173357,641651,190,195,SHALE,GREEN   ,SOFT    ,OGWD,SHLE,<Null>,<Null>,641651,"SHALE,SHLE,GREEN",bdrk,bedrock,1083,1078,5,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8441,Point Z,4173358,641651,195,295,SANDSTONE,GRAY    ,SOFT    ,OSTP,SNDS,<Null>,<Null>,641651,"SANDSTONE,SNDS,GRAY",bdrk,bedrock,1078,978,100,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
8447,Point Z,4173361,641651,295,350,DOLOMITE,GRAY    ,HARD    ,OPSH,DLMT,SNDS,<Null>,641651,"DOLOMITE,DLMT,GRAY",bdrk,bedrock,978,923,55,1273,1266,7,OGPC,OPSH,OPSH,957.2,OPSH,923,923,OPSH,556999.9811,4868091.009
7994,Point Z,4524765,107657,0,10,SOIL,BROWN   ,SOFT    ,RUUB,SOIL,ORGD,<Null>,107657,"SOIL,SOIL,BROWN",fill,soil,1290,1280,10,1290,1280,10,OGSC,OSTP,OSTP,1040,OSTP,970,970,OSTP,557816,4867594
7990,Point Z,4524766,107657,10,160,GALENA LIME,GRAY    ,HARD    ,OGSC,LMSN,<Null>,<Null>,107657,"GALENALIME,LMSN,GRAY",bdrk,bedrock,1280,1130,150,1290,1280,10,OGSC,OSTP,OSTP,1040,OSTP,970,970,OSTP,557816,4867594
7993,Point Z,4524767,107657,160,200,SHALE,GREEN   ,HARD    ,ODCR,SHLE,<Null>,<Null>,107657,"SHALE,SHLE,GREEN",bdrk,bedrock,1130,1090,40,1290,1280,10,OGSC,OSTP,OSTP,1040,OSTP,970,970,OSTP,557816,4867594
7991,Point Z,4524768,107657,200,220,PLATTEVILLE LIME,GRAY    ,HARD    ,OPVL,LMSN,<Null>,<Null>,107657,"PLATTEVILLELIME,LMSN,GRAY",bdrk,bedrock,1090,1070,20,1290,1280,10,OGSC,OSTP,OSTP,1040,OSTP,970,970,OSTP,557816,4867594
7992,Point Z,4524769,107657,220,320,ST. PETER SAND,WHITE   ,HARD    ,OSTP,SNDS,<Null>,<Null>,107657,"ST.PETERSAND,SNDS,WHITE",bdrk,bedrock,1070,970,100,1290,1280,10,OGSC,OSTP,OSTP,1040,OSTP,970,970,OSTP,557816,4867594
11396,Point Z,4526794,148347,0,6,CLAY,BROWN   ,SOFT    ,QCUB,CLAY,<Null>,<Null>,148347,"CLAY,CLAY,BROWN",till,"clay, brown",1278,1272,6,1278,1272,6,OGPC,OSTP,OSTP,1028,OSTP,998,998,OSTP,559376,4870064
11394,Point Z,4526795,148347,6,109,LIMESTONE,TAN     ,HARD    ,OGPC,LMSN,<Null>,<Null>,148347,"LIMESTONE,LMSN,TAN",bdrk,bedrock,1272,1169,103,1278,1272,6,OGPC,OSTP,OSTP,1028,OSTP,998,998,OSTP,559376,4870064
11397,Point Z,4526796,148347,109,154,SHALE,GREEN   ,MEDIUM  ,ODCR,SHLE,<Null>,<Null>,148347,"SHALE,SHLE,GREEN",bdrk,bedrock,1169,1124,45,1278,1272,6,OGPC,OSTP,OSTP,1028,OSTP,998,998,OSTP,559376,4870064
11392,Point Z,4526797,148347,154,177,LIMESTONE,GRAY    ,HARD    ,OPVL,LMSN,<Null>,<Null>,148347,"LIMESTONE,LMSN,GRAY",bdrk,bedrock,1124,1101,23,1278,1272,6,OGPC,OSTP,OSTP,1028,OSTP,998,998,OSTP,559376,4870064
11395,Point Z,4526798,148347,177,180,SHALE,BROWN   ,MEDIUM  ,OGWD,SHLE,<Null>,<Null>,148347,"SHALE,SHLE,BROWN",bdrk,bedrock,1101,1098,3,1278,1272,6,OGPC,OSTP,OSTP,1028,OSTP,998,998,OSTP,559376,4870064
11393,Point Z,4526799,148347,180,280,SANDSTONE,WHITE   ,MEDIUM  ,OSTP,SNDS,<Null>,<Null>,148347,"SANDSTONE,SNDS,WHITE",bdrk,bedrock,1098,998,100,1278,1272,6,OGPC,OSTP,OSTP,1028,OSTP,998,998,OSTP,559376,4870064
10340,Point Z,4529087,220607,0,95,GALENA,<Null>,<Null>,OGPC,LMSN,<Null>,<Null>,220607,"GALENA,LMSN,",bdrk,bedrock,1243,1148,95,1243,1243,0,OGPC,OPDC,OPDC,973,OPDC,915,915,OPDC,557797,4869547
10339,Point Z,4529088,220607,95,141,DECORAH SHALE,<Null>,<Null>,ODCR,SHLE,<Null>,<Null>,220607,"DECORAHSHALE,SHLE,",bdrk,bedrock,1148,1102,46,1243,1243,0,OGPC,OPDC,OPDC,973,OPDC,915,915,OPDC,557797,4869547
10336,Point Z,4529089,220607,141,159,PLATTEVILLE,<Null>,<Null>,OPVL,LMSN,<Null>,<Null>,220607,"PLATTEVILLE,LMSN,",bdrk,bedrock,1102,1084,18,1243,1243,0,OGPC,OPDC,OPDC,973,OPDC,915,915,OPDC,557797,4869547
10341,Point Z,4529090,220607,159,163,GLENWOOD,<Null>,<Null>,OGWD,SHLE,<Null>,<Null>,220607,"GLENWOOD,SHLE,",bdrk,bedrock,1084,1080,4,1243,1243,0,OGPC,OPDC,OPDC,973,OPDC,915,915,OPDC,557797,4869547
10338,Point Z,4529091,220607,163,267,ST. PETER,<Null>,<Null>,OSTP,SNDS,<Null>,<Null>,220607,"ST.PETER,SNDS,",bdrk,bedrock,1080,976,104,1243,1243,0,OGPC,OPDC,OPDC,973,OPDC,915,915,OPDC,557797,4869547
10337,Point Z,4529092,220607,267,328,SHAKOPEE,<Null>,<Null>,OPDC,DLMT,<Null>,<Null>,220607,"SHAKOPEE,DLMT,",bdrk,bedrock,976,915,61,1243,1243,0,OGPC,OPDC,OPDC,973,OPDC,915,915,OPDC,557797,4869547
11374,Point Z,4529098,220609,0,5,DRIFT,<Null>,<Null>,QUUU,DRFT,<Null>,<Null>,220609,"DRIFT,DRFT,",drift,drift,1243,1238,5,1243,1238,5,OGPR,OSTP,OGCM,1179,OSTP,1024,1024,MTPL,557546,4870055
11375,Point Z,4529099,220609,5,24,LIMESTONE,BROWN   ,<Null>,OGPR,LMSN,<Null>,<Null>,220609,"LIMESTONE,LMSN,BROWN",bdrk,bedrock,1238,1219,19,1243,1238,5,OGPR,OSTP,OGCM,1179,OSTP,1024,1024,MTPL,557546,4870055
11376,Point Z,4529100,220609,24,90,LIMESTONE,BLUE    ,<Null>,OGPC,LMSN,<Null>,<Null>,220609,"LIMESTONE,LMSN,BLUE",bdrk,bedrock,1219,1153,66,1243,1238,5,OGPR,OSTP,OGCM,1179,OSTP,1024,1024,MTPL,557546,4870055
11372,Point Z,4529101,220609,90,129,SHALE,BLUE    ,<Null>,ODCR,SHLE,<Null>,<Null>,220609,"SHALE,SHLE,BLUE",bdrk,bedrock,1153,1114,39,1243,1238,5,OGPR,OSTP,OGCM,1179,OSTP,1024,1024,MTPL,557546,4870055
11373,Point Z,4529102,220609,129,159,LIMESTONE,BROWN   ,<Null>,OPGW,LMSN,<Null>,<Null>,220609,"LIMESTONE,LMSN,BROWN",bdrk,bedrock,1114,1084,30,1243,1238,5,OGPR,OSTP,OGCM,1179,OSTP,1024,1024,MTPL,557546,4870055
11371,Point Z,4529103,220609,159,219,SANDSTONE,<Null>,<Null>,OSTP,SNDS,<Null>,<Null>,220609,"SANDSTONE,SNDS,",bdrk,bedrock,1084,1024,60,1243,1238,5,OGPR,OSTP,OGCM,1179,OSTP,1024,1024,MTPL,557546,4870055
7858,Point Z,4529108,220611,0,19,DRIFT,<Null>,<Null>,QUUU,DRFT,<Null>,<Null>,220611,"DRIFT,DRFT,",drift,drift,1267,1248,19,1267,1248,19,OGPR,OSTP,OSTP,1050,OSTP,980,980,OSTP,557369.32,4867293.78
7855,Point Z,4529109,220611,19,59,GALENA LIMESTONE,<Null>,<Null>,OGPR,LMSN,<Null>,<Null>,220611,"GALENALIMESTONE,LMSN,",bdrk,bedrock,1248,1208,40,1267,1248,19,OGPR,OSTP,OSTP,1050,OSTP,980,980,OSTP,557369.32,4867293.78
7856,Point Z,4529110,220611,120,162,DECORAH SHALE,<Null>,<Null>,ODCR,SHLE,<Null>,<Null>,220611,"DECORAHSHALE,SHLE,",bdrk,bedrock,1147,1105,42,1267,1248,19,OGPR,OSTP,OSTP,1050,OSTP,980,980,OSTP,557369.32,4867293.78
7861,Point Z,4529111,220611,162,185,PLATTEVILLE LIMESTONE,<Null>,<Null>,OPVL,LMSN,<Null>,<Null>,220611,"PLATTEVILLELIMESTONE,LMSN,",bdrk,bedrock,1105,1082,23,1267,1248,19,OGPR,OSTP,OSTP,1050,OSTP,980,980,OSTP,557369.32,4867293.78
7859,Point Z,4529112,220611,185,195,GLENWOOD SHALE,<Null>,<Null>,OGWD,SHLE,<Null>,<Null>,220611,"GLENWOODSHALE,SHLE,",bdrk,bedrock,1082,1072,10,1267,1248,19,OGPR,OSTP,OSTP,1050,OSTP,980,980,OSTP,557369.32,4867293.78
